frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
0,1772786576.087460,534.0120,325.3646,438.0663,199.9884,535.9982,106.5768,89.0159,106.6523,1043.9654,223.1452,618.1034
1,1772786576.221829,533.5522,325.8804,437.6200,199.4419,536.4774,107.9717,89.0677,108.1638,1045.3342,222.0424,618.3866
2,1772786576.353952,532.8475,326.8533,437.1944,198.8961,537.0070,109.5809,89.1172,109.7969,1045.1374,221.4934,618.4773
3,1772786576.489947,531.1124,328.1664,436.7959,198.3323,537.5638,111.3347,89.1629,111.6084,1045.7078,220.3540,618.3223
4,1772786576.622137,530.0490,329.4336,436.4414,197.7851,538.1516,113.1785,89.2036,113.4708,1045.8742,221.2695,618.4101
5,1772786576.758070,529.3990,330.7252,436.1245,197.2342,538.7811,115.1533,89.2407,115.5794,1046.1820,219.3947,618.2760
6,1772786576.890631,528.5919,331.8528,435.8097,196.6700,539.4388,117.2164,89.2727,117.6682,1045.5544,219.1359,618.3863
7,1772786577.026226,527.9106,333.0612,435.5445,196.1137,540.1276,119.4621,89.3026,119.9633,1046.0633,218.5505,618.4409
8,1772786577.162088,526.7755,334.1808,435.2931,195.5549,540.8484,121.7096,89.3274,122.3003,1042.6076,218.1570,617.9835
9,1772786577.294276,525.9976,335.3575,435.0656,194.9974,541.5943,124.0107,89.3490,124.6629,1045.5206,216.7617,618.5799
10,1772786577.430105,525.3893,336.5594,434.8583,194.4174,542.3993,126.4632,89.3678,127.0346,1046.8530,217.1703,618.7155
11,1772786577.562323,524.3985,338.4489,434.6922,193.8847,543.1698,128.7360,89.3826,129.4169,1046.1505,216.6392,618.5408
12,1772786577.698110,523.9748,339.5627,434.5335,193.3304,543.9811,131.0339,89.3951,131.8165,1046.0773,214.6662,618.5631
13,1772786577.830395,523.1776,341.6337,434.3933,192.7577,544.8506,133.3736,89.4044,134.1578,1045.6290,214.8315,618.4678
14,1772786577.966553,522.1954,343.6505,434.2698,192.1989,545.7398,135.6164,89.4114,136.4192,1043.2266,214.6598,617.8461
15,1772786578.102656,521.5212,345.0638,434.1613,191.5960,546.6865,137.8226,89.4161,138.5766,1048.6772,215.0575,618.7883
16,1772786578.234371,520.5970,346.6275,434.0722,191.0215,547.6276,139.8722,89.4187,140.6395,1047.4427,214.9572,618.5358
17,1772786578.370878,520.0865,348.0450,433.9953,190.4318,548.6153,141.8299,89.4195,142.5677,1045.8826,214.9182,618.7363
18,1772786578.502573,519.6573,349.7709,433.9388,189.8642,549.5853,143.5008,89.4185,144.2857,1048.9563,214.1997,618.9430
19,1772786578.638675,518.9077,351.6540,433.8899,189.2641,550.6536,145.1795,89.4161,145.9823,1042.1921,213.5211,618.4146
20,1772786578.770941,518.0541,353.8193,433.8553,188.6640,551.7080,146.6384,89.4125,147.4495,1046.8901,213.1938,618.7053
21,1772786578.906928,517.2762,356.0042,433.8316,188.0567,552.8201,147.9848,89.4078,148.7824,1046.7100,213.2857,618.8501
