frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
0,1772787932.241854,991.6213,278.4096,437.4186,199.1955,536.7057,108.6154,89.0898,108.8368,1057.9006,1.4524,630.7253
1,1772787932.373399,990.4297,277.2145,437.0367,198.6792,537.2091,110.2271,89.1349,110.4631,1055.7302,2.1533,631.7782
2,1772787932.509571,988.8354,276.7042,436.6629,198.1159,537.7905,112.0097,89.1786,112.3639,1058.9375,-0.7560,633.4788
3,1772787932.641619,987.0659,276.0657,436.3221,197.5892,538.3808,113.8875,89.2175,114.2623,1057.4025,-0.0012,634.2331
4,1772787932.777521,985.5057,275.5172,435.9992,197.0259,539.0210,115.8641,89.2524,116.3012,1059.6396,-1.6270,635.5561
5,1772787932.909919,984.1102,274.1571,435.7034,196.4598,539.7161,118.0969,89.2850,118.5675,1059.6729,-1.7916,637.1856
6,1772787933.045588,982.1423,274.1792,435.4494,195.9224,540.3715,120.1786,89.3121,120.8356,1057.5968,-3.5565,637.6035
7,1772787933.181644,980.8941,273.1474,435.1998,195.3405,541.1531,122.6403,89.3367,123.2066,1056.3338,-2.0468,638.5626
8,1772787933.313905,978.9070,273.0287,434.9902,194.7941,541.8800,124.9388,89.3566,125.5232,1056.2380,-1.5874,639.5960
9,1772787933.449544,977.5908,272.4688,434.7955,194.2232,542.6752,127.3405,89.3741,127.9981,1058.1888,-3.1362,640.9220
10,1772787933.581594,975.7959,272.0291,434.6314,193.6761,543.4715,129.6634,89.3878,130.3466,1060.3149,-3.1636,642.4733
11,1772787933.717506,974.1096,272.0218,434.4760,193.1030,544.3236,131.9955,89.3989,132.7413,1060.3535,-3.1029,643.1604
12,1772787933.849584,972.4180,271.6194,434.3401,192.5355,545.2005,134.2220,89.4074,135.0137,1060.4030,-4.0930,644.4675
13,1772787933.985514,970.5803,272.3964,434.2269,191.9780,546.0727,136.4685,89.4136,137.2630,1056.4873,-1.9883,644.1697
14,1772787934.121638,968.8784,272.1449,434.1274,191.3901,547.0214,138.6254,89.4174,139.4465,1058.1325,-3.2433,645.6509
15,1772787934.253575,967.1335,271.6291,434.0417,190.8098,547.9799,140.5695,89.4192,141.3988,1059.4828,-3.3543,646.9403
16,1772787934.389961,965.3027,270.9348,433.9709,190.2092,548.9988,142.4886,89.4192,143.3037,1061.1179,-3.6711,648.6734
17,1772787934.521757,963.6900,271.3058,433.9186,189.6486,549.9587,144.1592,89.4177,145.0240,1060.3322,-3.1554,649.1284
18,1772787934.657632,961.7120,271.8110,433.8744,189.0309,551.0443,145.7854,89.4148,146.5778,1059.7113,-1.9831,649.6339
19,1772787934.789918,959.7119,272.6703,433.8447,188.4235,552.1277,147.1688,89.4109,147.9647,1060.6470,-2.0347,650.6417
20,1772787934.925880,957.6628,273.2441,433.8252,187.8074,553.2470,148.4859,89.4057,149.2516,1058.6257,-0.8288,651.2456
21,1772787935.061538,955.8125,274.1577,433.8173,187.2140,554.3426,149.5980,89.3998,150.3981,1061.3650,-1.5047,652.1178
22,1772787935.193913,953.5889,274.1818,433.8182,186.5943,555.5310,150.5280,89.3936,151.3348,1062.1189,-1.4885,653.2150
