frame_id,time,u,v,X,Y,Z,A,B,C,gt_x,gt_y,gt_z
0,1772788224.501216,928.1621,444.7213,456.3186,209.9318,536.5685,95.8394,87.0291,94.3729,1043.7871,72.6953,546.4766
1,1772788224.632844,921.3651,446.2795,455.0948,209.5820,536.0452,95.9301,87.1519,94.5425,1044.3893,73.8215,545.8893
2,1772788224.768697,915.0410,447.9022,453.7626,209.1688,535.5273,96.0460,87.2846,94.7466,1044.4543,75.4020,545.3239
3,1772788224.900738,908.5135,449.7065,452.4952,208.7313,535.0760,96.1777,87.4127,94.9666,1042.1634,76.9954,544.5982
4,1772788225.036763,902.0245,451.7156,451.2908,208.2937,534.6721,96.3377,87.5403,95.2119,1045.3398,78.0006,543.9700
5,1772788225.168600,895.1310,452.4935,450.1687,207.8467,534.3392,96.5193,87.6601,95.4715,1039.8805,80.9400,543.7187
6,1772788225.304682,888.6054,454.4368,449.0567,207.3984,534.0730,96.7352,87.7804,95.7732,1041.7994,81.7893,543.1721
7,1772788225.441281,883.1328,455.2248,447.9593,206.9101,533.8436,96.9906,87.8974,96.0999,1042.4256,82.9506,543.1292
8,1772788225.572680,876.4277,457.1140,446.9505,206.4254,533.6936,97.2749,88.0055,96.4646,1043.2405,84.1278,542.6459
9,1772788225.708608,869.7479,458.4978,445.9385,205.9244,533.5907,97.6209,88.1138,96.8889,1045.0347,85.7256,542.4217
10,1772788225.840697,863.4041,460.2678,445.0186,205.4270,533.5487,98.0041,88.2181,97.3506,1045.4072,86.9782,542.0618
11,1772788225.976572,857.1620,462.1727,444.1493,204.9020,533.5623,98.4535,88.3195,97.8899,1044.6105,88.5455,541.5690
12,1772788226.108708,850.5408,463.5886,443.2917,204.3811,533.6300,98.9681,88.4118,98.4650,1041.3231,90.9665,541.2591
13,1772788226.253693,844.2981,464.9879,442.4218,203.8142,533.7660,99.6160,88.5096,99.1886,1041.0400,91.8031,541.2305
14,1772788226.380512,841.1724,466.0583,441.7227,203.3063,533.9292,100.2634,88.5924,99.9125,1042.5644,91.8947,541.1226
15,1772788226.512422,831.6439,467.8908,441.0367,202.7984,534.1440,100.9712,88.6690,100.7272,1043.0211,94.9035,540.8677
16,1772788226.648888,825.5699,469.5344,440.3545,202.2411,534.4257,101.8609,88.7479,101.6526,1041.1038,96.6200,540.7132
17,1772788226.780419,819.9437,471.3154,439.7734,201.7309,534.7199,102.7869,88.8175,102.6484,1042.4820,97.9623,540.3930
18,1772788226.916572,813.4100,473.0338,439.1616,201.1537,535.0926,103.8662,88.8858,103.7989,1042.8368,99.8580,540.1578
19,1772788227.048636,807.1722,474.8560,438.6346,200.6168,535.4925,105.0368,88.9480,105.0381,1041.5392,101.2424,540.0411
20,1772788227.184455,801.8863,475.2197,438.1344,200.0661,535.9280,106.3495,89.0066,106.4192,1042.0983,102.5153,540.4441
21,1772788227.320579,795.6707,475.8354,437.6648,199.4925,536.4306,107.7894,89.0610,107.9299,1041.9905,103.8087,540.9218
22,1772788227.452974,790.2183,476.8127,437.2595,198.9683,536.9238,109.3270,89.1097,109.5552,1043.6481,105.1380,541.0320
23,1772788227.588608,784.3221,478.3117,436.8528,198.4163,537.4766,111.0273,89.1568,111.3474,1037.7290,106.5288,541.0116
