frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,567.3582,323.7976,438.9313,200.9082,535.2673,104.3726,88.9141,104.3361
1,0.1361079216003418,566.2518,324.4373,438.4105,200.3751,535.6764,105.5999,88.9752,105.6516
2,0.2680189609527588,565.4904,324.7014,437.9288,199.8269,536.1333,106.9793,89.0316,107.0368
3,0.40396714210510254,564.9738,325.1445,437.5033,199.2924,536.6153,108.4485,89.0837,108.6466
4,0.5398819446563721,563.4328,326.4111,437.0752,198.7166,537.1718,110.0866,89.1311,110.3698
5,0.6718859672546387,562.6393,327.6792,436.6944,198.1809,537.7222,111.8424,89.1749,112.1389
6,0.8080921173095703,561.7437,329.1673,436.3383,197.6096,538.3443,113.7773,89.215,114.1447
7,0.9399781227111816,560.3517,330.4906,436.0252,197.0615,538.9904,115.7881,89.2508,116.2014
8,1.0756809711456299,559.8554,331.1728,435.7194,196.5069,539.6602,117.9191,89.2825,118.3856
9,1.2077970504760742,558.7874,332.8379,435.4608,195.9481,540.3383,120.0736,89.3097,120.6249
10,1.34375,558.1642,333.676,435.2209,195.3916,541.0637,122.3661,89.3346,123.06
11,1.4802350997924805,557.4767,335.365,434.9992,194.8185,541.8628,124.8358,89.3557,125.3991
12,1.611717939376831,556.967,336.4097,434.8113,194.2763,542.6245,127.1361,89.3726,127.7792
13,1.7475979328155518,556.0176,338.33,434.6436,193.7318,543.3957,129.4293,89.3865,130.1888
14,1.8830010890960693,555.0927,339.7762,434.4843,193.1326,544.2562,131.8503,89.3983,132.558
15,2.0153660774230957,553.7119,341.5586,434.3535,192.5796,545.1263,134.1053,89.4068,134.8282
16,2.1476099491119385,553.444,343.545,434.2341,192.0158,546.0126,136.275,89.413,137.0681
17,2.2835021018981934,552.9609,345.1921,434.1323,191.4327,546.9519,138.4426,89.4172,139.2435
18,2.419408082962036,552.0633,346.3359,434.0486,190.8587,547.9211,140.4657,89.4192,141.282
19,2.551846981048584,551.4316,347.6433,433.9801,190.2943,548.8783,142.2591,89.4193,143.1346
20,2.6874570846557617,551.06,349.5337,433.9204,189.6581,549.9419,144.047,89.4179,144.8836
21,2.819443941116333,550.0724,351.8819,433.8783,189.0791,550.9626,145.6355,89.4151,146.4352
22,2.9552581310272217,549.5946,354.1281,433.846,188.4652,552.0317,147.0657,89.4112,147.8868
23,3.0871570110321045,548.955,356.3162,433.8267,187.8704,553.1652,148.3311,89.4064,149.1623
24,3.22320294380188,548.0157,358.6173,433.8176,187.254,554.2681,149.4925,89.4005,150.2978
25,3.3597090244293213,547.5062,360.7867,433.8178,186.6257,555.4784,150.4881,89.3939,151.2925
26,3.491152048110962,546.9692,362.7334,433.8268,186.0094,556.6127,151.2951,89.3871,152.1204
27,3.6271350383758545,546.4493,365.1816,433.8437,185.3679,557.8814,152.0462,89.3798,152.8498
28,3.758916139602661,545.5415,367.729,433.8666,184.7411,559.0634,152.6244,89.3725,153.4345
29,3.896170139312744,545.2138,370.5547,433.8973,184.0729,560.3777,153.1387,89.3646,153.9415
30,4.026817083358765,544.8922,373.2465,433.9301,183.4502,561.6384,153.5181,89.3571,154.3172
31,4.162951946258545,544.1374,375.6707,433.9695,182.7847,562.9801,153.8105,89.3497,154.6142
32,4.298695087432861,543.582,378.0548,434.0106,182.0988,564.3317,154.0315,89.3423,154.8391
33,4.43097710609436,543.3324,380.4504,434.0521,181.4523,565.6475,154.176,89.3354,154.9813
34,4.566785097122192,542.7798,383.3929,434.0944,180.7805,567.0995,154.2656,89.3285,155.067
35,4.698885917663574,542.2066,386.3889,434.1363,180.1083,568.4641,154.2986,89.3221,155.0995
36,4.834851026535034,541.3572,389.5683,434.1794,179.3778,569.9318,154.2902,89.3162,155.0889
37,4.966881036758423,541.0305,392.1879,434.2182,178.6582,571.4314,154.2447,89.311,155.0432
38,5.103208065032959,540.801,395.1571,434.2532,177.9481,572.8987,154.1725,89.3064,154.9722
39,5.238872051239014,540.2474,398.2943,434.2822,177.2303,574.4445,154.0837,89.3024,154.8797
40,5.370651006698608,539.9797,401.5642,434.3041,176.5142,575.9252,153.9905,89.2994,154.7839
41,5.507062911987305,539.2928,404.9373,434.3179,175.757,577.5311,153.8895,89.2972,154.683
42,5.638833045959473,539.0964,408.1427,434.3237,175.0304,579.0328,153.7963,89.2958,154.5876
43,5.7745420932769775,538.6234,411.7483,434.3196,174.2921,580.5984,153.7085,89.2954,154.496
44,5.9068379402160645,537.7263,415.4761,434.3057,173.4884,582.1834,153.6223,89.2962,154.4093
45,6.042550086975098,537.5453,418.7586,434.2818,172.7325,583.7972,153.5454,89.298,154.3229
46,6.17845606803894,537.5463,421.7798,434.2469,171.9401,585.4334,153.4698,89.3012,154.2437
47,6.31040096282959,537.085,425.5341,434.2064,171.1703,587.0101,153.4063,89.3055,154.1719
48,6.4465460777282715,536.4501,429.2736,434.1499,170.3301,588.7135,153.3482,89.3113,154.1086
49,6.578407049179077,535.8137,433.011,434.0916,169.5793,590.2887,153.303,89.3182,154.0559
50,6.714303970336914,535.4048,436.4509,434.0194,168.7527,591.8666,153.2683,89.3263,154.0133
51,6.982288122177124,535.1655,443.2527,433.8599,167.1991,594.9138,153.243,89.3469,153.9715
52,7.118703126907349,533.541,447.5086,433.7678,166.4004,596.3809,153.2558,89.3591,153.9768
53,7.250554084777832,533.7284,450.7477,433.6752,165.6481,597.7906,153.289,89.3722,154.0014
54,7.386094093322754,533.7677,453.6874,433.5775,164.8951,599.2362,153.3457,89.3867,154.052
55,7.518249034881592,533.5853,456.4427,433.4696,164.1032,600.5926,153.4286,89.4021,154.1281
56,7.654263973236084,533.1672,459.6325,433.3598,163.3281,601.9545,153.5456,89.419,154.2359
57,7.786109924316406,533.114,463.2048,433.2441,162.5391,603.2649,153.7014,89.4368,154.3857
58,7.922055959701538,532.4742,466.4109,433.1293,161.7783,604.5337,153.9004,89.4566,154.5762
59,8.054237127304077,532.191,469.6132,433.0149,161.0124,605.7653,154.1418,89.4764,154.8281
60,8.189913988113403,532.0333,472.4252,432.8905,160.2405,606.9763,154.4538,89.4979,155.1376
61,8.325942993164062,531.7189,475.3274,432.766,159.4486,608.157,154.8523,89.5208,155.5306
62,8.457880973815918,531.611,478.2133,432.6486,158.7209,609.26,155.3068,89.5437,155.9951
63,8.594631910324097,531.0204,481.2092,432.5244,157.9081,610.4047,155.925,89.569,156.6084
64,8.725734949111938,530.2592,483.8224,432.4008,157.1737,611.4084,156.6369,89.5938,157.3425
65,8.86177110671997,530.1225,486.4377,432.2739,156.3769,612.4562,157.5627,89.621,158.2747
66,8.993860006332397,530.0803,488.9395,432.1525,155.5926,613.4549,158.6882,89.6481,159.4239
67,9.129724025726318,529.7114,491.2939,432.0274,154.7776,614.4286,160.1743,89.6772,160.9468
68,9.265640020370483,529.436,493.9769,431.9136,154.0599,615.277,161.9353,89.7052,162.7829
69,9.39769196510315,528.8493,496.6087,431.7921,153.2127,616.1376,164.242,89.7345,165.2122
70,9.53351902961731,527.6057,498.9693,431.6794,152.4384,616.9674,167.3978,89.7634,168.4661
71,9.665517091751099,527.3683,501.1353,431.5701,151.676,617.6928,171.4804,89.7913,172.6371
72,9.801604986190796,526.6036,503.6826,431.4593,150.826,618.4587,177.4286,89.821,91.617
73,9.933604001998901,526.1915,505.9177,431.3536,150.0243,619.1241,-174.4907,89.8467,-172.5472
74,10.069435119628906,525.4999,507.7087,431.2534,149.1763,619.7773,-162.2551,89.8688,-160.1515
75,10.205973148345947,524.6302,509.2994,431.1561,148.3401,620.3656,-146.2689,89.883,-143.48
76,10.337403059005737,523.8204,511.1704,431.0683,147.5085,620.8935,-127.3233,89.8847,-124.3223
77,10.473616123199463,523.2006,513.067,430.9865,146.6784,621.3781,-108.8775,89.8731,-106.0069
78,10.605777025222778,522.4523,514.2073,430.9084,145.8064,621.8003,-94.5401,89.8502,-92.1653
79,10.741353034973145,521.0792,516.0559,430.8404,144.9465,622.1655,-84.3336,89.8203,-82.489
80,10.873363971710205,520.4185,517.1995,430.7799,144.1117,622.4643,-77.1601,89.787,-75.8205
81,11.009205102920532,518.7829,518.4087,430.7263,143.2221,622.725,-71.9362,89.7483,-70.8124
82,11.145339012145996,518.0869,519.5332,430.6796,142.3341,622.913,-68.2537,89.7086,-67.2417
83,11.277295112609863,517.1449,520.3534,430.646,141.5272,623.0241,-65.7385,89.6709,-64.7844
