frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,875.0817,455.4288,436.9127,198.5034,537.3883,110.7585,89.1488,111.0683
1,0.13457608222961426,869.9908,458.4807,436.5548,197.9649,537.9631,112.5436,89.1908,112.8886
2,0.27082109451293945,865.3863,461.3383,436.2023,197.3864,538.5786,114.542,89.2296,114.9205
3,0.40265989303588867,860.6675,464.0441,435.9013,196.8445,539.2293,116.5479,89.2631,117.046
4,0.5389080047607422,855.806,466.8879,435.6195,196.2724,539.9271,118.7708,89.2938,119.2568
5,0.6706199645996094,850.8188,469.9158,435.3643,195.7309,540.6182,120.959,89.3196,121.5278
6,0.8069729804992676,846.6216,472.1417,435.13,195.1651,541.3673,123.3756,89.3435,123.955
7,0.9386539459228516,841.8166,474.6734,434.9324,194.643,542.0977,125.5523,89.3619,126.2978
8,1.0745429992675781,836.9241,477.6481,434.7422,194.0596,542.9097,128.0483,89.3784,128.6997
9,1.2105650901794434,832.277,480.4471,434.5788,193.4909,543.723,130.2791,89.3912,131.0478
10,1.3425719738006592,827.9382,483.7608,434.4339,192.9438,544.5815,132.6212,89.4015,133.3549
11,1.4784879684448242,822.7319,486.9156,434.3013,192.3541,545.478,134.9817,89.4096,135.7626
12,1.6106128692626953,818.2964,489.0535,434.2045,191.7921,546.37,137.1148,89.415,137.9277
13,1.7463469505310059,812.7653,492.2482,434.1001,191.208,547.3194,139.2457,89.4182,140.0396
14,1.8784658908843994,809.0634,493.9055,434.0257,190.6756,548.2263,141.0526,89.4194,141.841
15,2.0144689083099365,804.2542,496.8125,433.9529,190.031,549.2982,143.0136,89.419,143.8115
16,2.150786876678467,799.4957,499.4019,433.9006,189.4383,550.3274,144.7347,89.417,145.5239
17,2.2826380729675293,794.3282,502.7897,433.864,188.8439,551.391,146.1974,89.4138,147.0138
18,2.4187228679656982,789.2425,505.89,433.838,188.2592,552.4554,147.566,89.4095,148.3997
19,2.550855875015259,784.0499,509.0685,433.8219,187.63,553.5731,148.8221,89.404,149.6211
20,2.686522960662842,779.49,511.7853,433.8164,187.0098,554.7324,149.9072,89.3979,150.6806
21,2.818518877029419,774.4414,514.2267,433.8204,186.3892,555.8781,150.7966,89.3916,151.5981
22,2.9545018672943115,769.7194,516.9299,433.8327,185.7341,557.1407,151.6074,89.3844,152.4095
23,3.0905449390411377,765.4669,519.8204,433.8522,185.1083,558.3478,152.2848,89.3768,153.1003
24,3.2228150367736816,760.4814,522.9299,433.878,184.4809,559.5731,152.8319,89.3694,153.6429
25,3.3584539890289307,755.519,525.8989,433.9093,183.8388,560.8476,153.2898,89.3618,154.0948
26,3.490506887435913,750.3795,528.5581,433.9438,183.1905,562.1318,153.6317,89.3544,154.4392
27,3.626386880874634,745.743,530.8452,433.9854,182.5062,563.4996,153.9057,89.3468,154.7082
28,3.758368968963623,740.8201,533.7505,434.0262,181.8519,564.833,154.0923,89.3397,154.8959
29,3.894378900527954,736.0656,536.6951,434.0691,181.1776,566.2383,154.2194,89.3325,155.021
30,4.030473947525024,730.1398,539.8065,434.1111,180.486,567.6715,154.2848,89.3258,155.0857
31,4.162471055984497,725.7838,542.5792,434.1542,179.8125,569.061,154.3007,89.3198,155.1006
32,4.29837703704834,720.8295,545.0131,434.1951,179.1035,570.5137,154.2762,89.3142,155.0747
33,4.431290864944458,715.9603,547.6644,434.2323,178.3955,571.967,154.2218,89.3091,155.018
34,4.566386938095093,709.444,550.7166,434.2644,177.6733,573.4924,154.1413,89.3048,154.9367
35,4.69840407371521,706.144,553.4694,434.2911,176.9459,574.9974,154.0485,89.3012,154.8442
36,4.834649085998535,701.1094,555.9287,434.3104,176.2447,576.4813,153.953,89.2985,154.7466
37,4.9703710079193115,695.8033,558.9024,434.3214,175.5104,578.0159,153.8573,89.2966,154.6476
38,5.1024229526519775,691.4639,561.6817,434.3233,174.7416,579.6113,153.7635,89.2956,154.5513
39,5.2383949756622314,685.756,564.3801,434.3159,173.98,581.2362,153.6751,89.2956,154.4598
40,5.370790004730225,681.7613,567.674,434.2981,173.2276,582.7821,153.5945,89.2967,154.3757
