frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,964.3895,403.2776,450.2594,207.8989,534.3725,96.4987,87.647,95.4339
1,0.13219118118286133,959.2633,406.413,449.2086,207.4521,534.1011,96.7044,87.7642,95.7206
2,0.26815009117126465,954.7824,408.5059,448.1113,206.9822,533.8763,96.9505,87.8772,96.0411
3,0.4000861644744873,949.9479,411.1511,447.0631,206.4765,533.705,97.2396,87.9931,96.4084
4,0.5359671115875244,945.1871,413.9963,446.0664,206.0017,533.6011,97.5674,88.1,96.8249
5,0.668133020401001,940.5228,416.3513,445.1607,205.5062,533.5513,97.9427,88.2024,97.2751
6,0.8044631481170654,934.9336,419.6641,444.2478,204.9768,533.5572,98.3844,88.3025,97.8121
7,0.9400711059570312,930.3531,421.9356,443.3847,204.439,533.6199,98.907,88.4016,98.3976
8,1.0721361637115479,925.3525,424.8798,442.5871,203.9311,533.7334,99.483,88.4914,99.0572
9,1.2084269523620605,920.7324,427.8877,441.8012,203.3784,533.9023,100.147,88.5786,99.7837
10,1.340029001235962,915.535,430.6941,441.16,202.8699,534.1082,100.8661,88.6585,100.5854
11,1.4760551452636719,910.5494,434.3096,440.4183,202.2956,534.3891,101.7717,88.7406,101.5572
12,1.6083481311798096,905.8203,437.4308,439.8434,201.7944,534.6802,102.6319,88.8084,102.5113
13,1.7441861629486084,900.8564,440.298,439.2231,201.2144,535.0391,103.6992,88.878,103.6566
14,1.8802070617675781,896.0234,443.3894,438.7028,200.6881,535.4381,104.8763,88.94,104.8696
15,2.0125200748443604,891.567,445.5306,438.2109,200.1382,535.8694,106.1542,88.9986,106.2124
16,2.1480910778045654,885.7621,448.6732,437.7286,199.5919,536.3468,107.5786,89.055,107.7523
17,2.2800450325012207,882.131,450.7582,437.3089,199.0349,536.859,109.1317,89.104,109.3222
18,2.415976047515869,877.8975,453.4359,436.8925,198.4689,537.4225,110.8599,89.1521,111.1348
19,2.5480401515960693,872.6006,456.9537,436.5448,197.9363,537.9699,112.5764,89.192,112.9526
20,2.6840269565582275,868.0883,460.0245,436.2204,197.3915,538.6103,114.5533,89.2302,114.9622
21,2.8200480937957764,863.0515,462.7468,435.8939,196.8298,539.2691,116.692,89.265,117.1758
22,2.9521100521087646,858.5627,465.2289,435.6069,196.259,539.9448,118.879,89.2946,119.3239
23,3.0879781246185303,854.0345,468.1164,435.3535,195.7068,540.6666,121.1256,89.3209,121.6612
24,3.2236530780792236,849.6364,470.6351,435.1283,195.1476,541.3967,123.3981,89.3436,124.047
25,3.355929136276245,844.88,473.5281,434.9298,194.6049,542.1364,125.7116,89.3628,126.3998
26,3.4881060123443604,838.8978,476.9849,434.7412,194.0409,542.9363,128.0572,89.379,128.7802
27,3.624061107635498,835.7877,479.0109,434.5792,193.493,543.7724,130.4532,89.3918,131.2066
28,3.7599971294403076,830.1989,482.6506,434.4284,192.9202,544.6087,132.7353,89.4022,133.4632
29,3.8922290802001953,825.9822,485.7859,434.2996,192.3307,545.5184,135.0736,89.4099,135.8243
30,4.028045177459717,821.0872,488.4455,434.1868,191.7569,546.4161,137.2445,89.4151,138.0329
31,4.1600871086120605,816.2682,490.9475,434.0935,191.1825,547.3901,139.3663,89.4183,140.078
32,4.295997142791748,811.3275,493.5161,434.0155,190.6026,548.3338,141.2603,89.4195,142.0782
33,4.427983999252319,806.896,496.0652,433.9515,190.0158,549.324,143.0593,89.4189,143.8478
34,4.5640270709991455,801.9695,498.9175,433.9015,189.4143,550.3673,144.7492,89.4169,145.565
35,4.699974060058594,797.3396,501.7435,433.8631,188.8104,551.4339,146.2828,89.4136,147.0766
36,4.8320231437683105,792.3724,505.288,433.8372,188.2203,552.4949,147.6096,89.4092,148.4449
37,4.968008995056152,788.0142,508.3769,433.821,187.5631,553.6958,148.9147,89.4036,149.7141
38,5.099961996078491,782.4276,511.2791,433.8166,186.989,554.766,149.9051,89.3978,150.7182
39,5.236116170883179,778.7878,513.6105,433.8206,186.3599,555.9456,150.8393,89.3911,151.6663
40,5.367923974990845,772.5277,516.4281,433.8332,185.7372,557.1335,151.6199,89.3842,152.4239
41,5.503964185714722,768.5984,519.5312,433.8524,185.0994,558.3707,152.2966,89.3768,153.1017
42,5.639975070953369,763.3873,522.694,433.8794,184.4464,559.6409,152.8547,89.3691,153.6664
43,5.7722461223602295,758.4504,525.6267,433.911,183.8046,560.9425,153.308,89.3614,154.1118
44,5.907953977584839,754.2496,528.4185,433.9469,183.1533,562.2062,153.6453,89.354,154.4626
45,6.04013204574585,748.7114,530.9313,433.9867,182.5037,563.5121,153.9137,89.3465,154.7164
46,6.175964117050171,744.7826,533.8135,434.0277,181.8166,564.9049,154.1002,89.3393,154.9046
47,6.307934999465942,739.6456,536.6953,434.0703,181.1586,566.2478,154.2197,89.3324,155.0241
48,6.444432020187378,734.4897,539.8052,434.1139,180.4497,567.7205,154.2859,89.3257,155.0868
49,6.5799760818481445,728.6786,542.9518,434.1572,179.7449,569.1301,154.3001,89.3193,155.0999
50,6.712012052536011,724.5046,545.2789,434.1968,179.0734,570.5533,154.2745,89.314,155.0734
51,6.848227024078369,719.3299,548.056,434.2336,178.3663,572.0278,154.2171,89.3089,155.015
52,6.979842185974121,714.6026,551.0568,434.2653,177.6648,573.5354,154.1388,89.3047,154.9345
53,7.115862131118774,709.5687,553.8777,434.2917,176.9412,575.0046,154.0482,89.3011,154.8405
54,7.248003959655762,704.7457,556.5237,434.3106,176.2143,576.5434,153.9482,89.2984,154.7418
55,7.384387969970703,699.8129,559.6646,434.3217,175.4601,578.1437,153.8496,89.2965,154.6437
56,7.519957065582275,694.5407,562.4446,434.323,174.6912,579.726,153.757,89.2956,154.5476
57,7.652440071105957,689.8073,565.5323,434.3149,173.9627,581.255,153.6714,89.2956,154.4585
58,7.788305044174194,684.1565,568.2897,434.2965,173.1743,582.8809,153.5897,89.2968,154.37
59,7.919887065887451,679.6058,570.8486,434.2694,172.4078,584.4288,153.5153,89.2991,154.2906
60,8.055976152420044,674.6295,572.8918,434.2304,171.6003,586.1085,153.4419,89.3028,154.2133
61,8.187921047210693,669.5892,576.0499,434.1834,170.8168,587.7289,153.3809,89.3077,154.1456
62,8.323770999908447,664.3646,578.9282,434.1246,169.9945,589.3944,153.3272,89.3141,154.0845
63,8.459841012954712,659.5769,580.6279,434.0604,169.2123,590.9617,153.2858,89.3217,154.0346
64,8.59194302558899,655.001,582.683,433.9861,168.4234,592.5097,153.2579,89.3304,153.9996
65,8.727918148040771,650.0178,585.2247,433.9086,167.6469,594.0101,153.244,89.3405,153.9773
66,8.860696077346802,645.3946,587.8741,433.8213,166.8334,595.5649,153.2461,89.3519,153.971
67,8.995973110198975,640.0991,589.6053,433.7303,166.0612,597.0144,153.2686,89.3646,153.985
68,9.127819061279297,635.4999,591.5508,433.6297,165.2927,598.431,153.3104,89.3782,154.018
69,9.264021158218384,630.5306,593.0987,433.5299,164.5183,599.8297,153.3784,89.3931,154.0803
70,9.399885177612305,625.8771,594.0141,433.4185,163.7385,601.2131,153.4768,89.4095,154.1732
71,9.53207516670227,621.1818,595.5884,433.3125,162.9867,602.5066,153.6064,89.4266,154.2935
72,9.667850017547607,616.9478,597.125,433.1973,162.2292,603.7891,153.7783,89.4452,154.4605
73,9.800239086151123,611.8508,597.9763,433.0802,161.4438,605.0577,153.9954,89.4647,154.6726
74,9.935873031616211,607.1281,598.9823,432.9569,160.663,606.3185,154.2737,89.4859,154.9487
75,10.067945957183838,603.0754,599.9833,432.8399,159.9105,607.5011,154.6096,89.5072,155.2886
76,10.203870058059692,598.1003,600.1136,432.7154,159.1369,608.6431,155.0341,89.5303,155.7209
77,10.339948177337646,593.7682,601.0728,432.5895,158.3521,609.8122,155.5791,89.5554,156.2634
78,10.472208023071289,588.9373,601.4358,432.4728,157.6226,610.83,156.2137,89.5797,156.9043
79,10.60828709602356,584.2346,601.5253,432.3462,156.8222,611.8762,157.002,89.6054,157.7285
80,10.739863157272339,579.9697,601.4157,432.2233,156.0562,612.8849,158.0016,89.6322,158.7462
81,10.87589406967163,575.3775,601.2113,432.0948,155.2554,613.857,159.2476,89.6605,160.0327
82,11.008326053619385,571.9916,601.9285,431.9788,154.4813,614.7637,160.7983,89.6877,161.6418
83,11.143814086914062,567.3507,600.3946,431.8625,153.6931,615.6529,162.8308,89.7169,163.7389
84,11.279853105545044,563.4197,600.9225,431.7457,152.9014,616.4839,165.482,89.7463,166.4741
85,11.411957025527954,557.7783,598.9999,431.6284,152.0711,617.3153,169.1186,89.7767,170.0895
86,11.679855108261108,549.8521,597.6132,431.4138,150.4946,618.7374,129.6758,89.8326,-177.8492
87,11.816195964813232,547.7368,600.0641,431.31,149.6576,619.4136,-169.8121,89.8571,-167.5888
88,11.947870969772339,541.1932,595.0654,431.2129,148.8421,620.0194,-156.4875,89.8762,-153.5628
89,12.083770990371704,537.3508,593.9803,431.1212,148.0176,620.5841,-138.7741,89.8851,-135.3229
90,12.219901084899902,532.9733,591.9432,431.0309,147.141,621.1091,-119.0164,89.8813,-115.6003
91,12.351861000061035,528.7223,589.4285,430.9522,146.3195,621.5635,-102.0836,89.8648,-99.9693
92,12.487919092178345,524.5134,587.5941,430.8757,145.4119,621.9667,-89.6342,89.8386,-87.5132
93,12.620257139205933,520.9759,585.2397,430.8136,144.5977,622.2972,-81.1126,89.8067,-79.3413
94,12.755903959274292,516.4982,582.4747,430.7568,143.7427,622.5846,-74.6972,89.7711,-73.4332
95,12.88789701461792,512.6103,580.2634,430.7056,142.8601,622.8042,-70.4093,89.7336,-69.2204
96,13.02383303642273,509.5359,576.9396,430.6655,141.9909,622.9639,-67.1875,89.6938,-66.1227
97,13.15975308418274,506.2712,575.6537,430.6314,141.0812,623.0661,-64.658,89.6509,-63.7417
98,13.291810035705566,502.0652,570.7784,430.6087,140.2565,623.0988,-62.92,89.6109,-62.0167
99,13.427809000015259,498.2023,567.6368,430.5933,139.361,623.073,-61.4393,89.568,-60.5841
100,13.559818029403687,494.5256,563.3907,430.5874,138.5318,622.9884,-60.3645,89.5273,-59.4891
101,13.69579815864563,491.6897,559.6543,430.5894,137.6388,622.8398,-59.4497,89.4828,-58.6055
102,13.82791805267334,488.2201,555.7385,430.5997,136.8008,622.64,-58.7476,89.4418,-57.8989
103,13.963751077651978,485.1825,551.3712,430.6186,135.907,622.3695,-58.1769,89.3995,-57.3074
104,14.099874019622803,481.8885,546.797,430.6453,135.0278,622.04,-57.7131,89.3562,-56.8318
105,14.232166051864624,479.1598,541.9188,430.6776,134.2065,621.6789,-57.3619,89.3168,-56.4646
106,14.368175029754639,476.4309,537.482,430.7193,133.337,621.2317,-57.059,89.2741,-56.1473
107,14.499716997146606,473.4595,531.7275,430.7687,132.4627,620.7431,-56.8191,89.2348,-55.8915
108,14.636146068572998,470.6108,528.6519,430.8205,131.6427,620.2097,-56.6306,89.1936,-55.6846
109,14.767791986465454,467.8217,523.3793,430.8775,130.7976,619.639,-56.4873,89.1558,-55.5144
110,14.903784036636353,465.4163,518.2952,430.9449,129.934,618.9826,-56.3656,89.1164,-55.3662
111,15.039775133132935,463.129,512.6074,431.0132,129.0905,618.2866,-56.2719,89.0778,-55.2478
112,15.171756982803345,460.9799,506.7887,431.0886,128.2279,617.5516,-56.2004,89.0399,-55.1527
113,15.307703971862793,459.0484,501.0388,431.1687,127.3458,616.7324,-56.1471,89.004,-55.0736
114,15.439789056777954,457.0591,495.0719,431.251,126.4842,615.8769,-56.1079,88.966,-55.0077
