frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,258.5657,580.2139,-469.1262,-471.2878,636.9263,-33.976,88.8186,90.7133
1,0.1361250877380371,261.9473,577.7658,-468.5504,-471.7331,634.4342,-34.2352,88.7786,90.3974
2,0.2719559669494629,265.501,575.4404,-467.854,-472.2637,631.5596,-34.5537,88.7261,90.0186
3,0.40401601791381836,268.5295,572.2405,-467.0619,-472.8054,628.4279,-34.8463,88.6764,89.6493
4,0.5398991107940674,271.6892,570.0127,-466.3327,-473.2898,625.4521,-35.1243,88.6262,89.3084
5,0.6721830368041992,274.9655,567.1597,-465.5991,-473.7526,622.567,-35.3917,88.577,88.9709
6,0.8085839748382568,277.8128,563.6399,-464.7152,-474.2793,619.167,-35.6689,88.5281,88.624
7,0.9398200511932373,280.5711,561.037,-463.8886,-474.7402,615.943,-35.9452,88.4783,88.3115
8,1.0759501457214355,283.7989,558.1025,-463.0382,-475.1852,612.7013,-36.2011,88.4303,88.003
9,1.2119269371032715,286.5508,554.678,-462.1449,-475.6341,609.3928,-36.463,88.3808,87.6859
10,1.345412015914917,289.6776,552.2194,-461.2182,-476.0384,606.0789,-36.7021,88.3356,87.3919
11,1.4802789688110352,292.1155,549.136,-460.3144,-476.4208,602.7379,-36.9412,88.2902,87.1041
12,1.6120719909667969,294.8488,545.2214,-459.3275,-476.8019,599.3023,-37.1829,88.2447,86.8247
13,1.7478439807891846,297.8323,542.6582,-458.372,-477.1387,595.9295,-37.4187,88.2007,86.5509
14,1.8798861503601074,300.2526,539.5061,-457.3805,-477.4564,592.5243,-37.6367,88.1605,86.2881
15,2.0156641006469727,302.6592,535.7888,-456.3806,-477.7452,588.9079,-37.8691,88.1183,86.0275
16,2.1521811485290527,305.3462,533.3574,-455.285,-478.0294,585.3803,-38.0924,88.0792,85.7761
17,2.2839391231536865,306.9486,529.6516,-454.2623,-478.2562,582.0626,-38.3031,88.0437,85.5391
18,2.4197769165039062,309.4725,526.2604,-453.155,-478.4736,578.3549,-38.5148,88.0084,85.3084
19,2.5516910552978516,311.6672,523.2746,-452.1303,-478.6408,575.0626,-38.7048,87.9769,85.0865
20,2.6878929138183594,313.3748,519.671,-450.9737,-478.7992,571.5002,-38.9079,87.9472,84.8812
21,2.8197479248046875,314.9846,517.1624,-449.9644,-478.9111,568.2148,-39.0884,87.9222,84.696
22,2.955785036087036,316.844,513.7386,-448.7988,-479.0032,564.7698,-39.2796,87.8981,84.508
23,3.0982770919799805,318.3596,510.8952,-447.7013,-479.0619,561.3941,-39.4606,87.8754,84.3217
24,3.22379207611084,319.6294,508.1119,-446.7359,-479.0906,558.4832,-39.6138,87.8584,84.1679
25,3.3600010871887207,321.2624,504.0435,-445.6717,-479.0976,555.283,-39.7843,87.8421,84.0073
26,3.491873025894165,322.6707,501.0426,-444.5843,-479.0787,552.2039,-39.9361,87.8288,83.8604
27,3.6348109245300293,323.6984,498.9158,-443.4742,-479.0328,548.9923,-40.0967,87.8172,83.7144
28,3.7613461017608643,324.1186,495.8076,-442.5447,-478.9731,546.1824,-40.2348,87.8092,83.5922
29,3.895806074142456,325.6272,493.2317,-441.4229,-478.8812,543.0777,-40.3812,87.8026,83.4627
30,4.0331950187683105,326.426,490.4856,-440.3699,-478.7678,540.1646,-40.5235,87.7985,83.3455
31,4.168810129165649,327.1452,486.969,-439.3401,-478.6409,537.3641,-40.6547,87.7967,83.2347
32,4.299835920333862,328.0158,484.5007,-438.38,-478.4971,534.662,-40.7829,87.7972,83.1321
33,4.431910037994385,328.9308,482.0106,-437.3975,-478.3405,532.0575,-40.9009,87.7995,83.0435
34,4.568242073059082,329.4194,478.9669,-436.2989,-478.1428,529.1286,-41.0279,87.8045,82.9481
35,4.6995849609375,330.0868,476.7625,-435.3452,-477.9523,526.5599,-41.1405,87.8108,82.8667
36,4.836141109466553,330.5944,474.5924,-434.4032,-477.7404,523.9711,-41.2501,87.8193,82.7867
37,4.971785068511963,330.8682,471.3359,-433.3496,-477.4962,521.3259,-41.3642,87.8301,82.7134
38,5.103588104248047,331.0541,468.8972,-432.4151,-477.2692,518.8913,-41.4654,87.8424,82.6473
