frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,278.9875,403.5683,-400.4473,-465.8781,463.1334,-83.0185,89.7851,37.8991
1,0.13194918632507324,276.8291,401.2724,-398.8538,-465.5893,462.8836,-148.259,89.8315,-27.5916
2,0.2677791118621826,274.559,400.3652,-397.3522,-465.4142,463.1024,172.3425,89.6752,-63.5358
3,0.3999021053314209,272.1129,400.1802,-395.9748,-465.35,463.7647,159.6926,89.4693,-74.2032
4,0.5357871055603027,269.5919,401.6725,-394.6697,-465.4021,464.8998,154.4504,89.263,-78.6775
5,0.6718451976776123,266.994,400.9148,-393.3768,-465.5671,466.5108,151.626,89.0435,-81.1146
6,0.8037910461425781,265.0827,400.1488,-392.2018,-465.8394,468.5756,149.9338,88.8294,-82.48
7,0.9400331974029541,262.3183,401.1505,-391.0869,-466.2065,470.9908,148.8421,88.6247,-83.3393
8,1.0718061923980713,259.9248,403.1691,-390.0524,-466.6459,473.7239,148.1042,88.4331,-83.8678
9,1.2077322006225586,257.6811,405.0215,-389.0071,-467.1672,476.8988,147.5629,88.2415,-84.2151
10,1.3396711349487305,255.6843,405.7159,-388.1176,-467.7241,480.171,147.189,88.0696,-84.415
11,1.4758291244506836,253.7595,409.7335,-387.1129,-468.3614,484.0275,146.8947,87.9015,-84.5308
12,1.6117541790008545,251.4632,412.3324,-386.1499,-469.0573,488.0194,146.6893,87.7472,-84.5756
13,1.7436401844024658,249.7019,416.0811,-385.2207,-469.7299,492.3487,146.5346,87.5982,-84.5726
14,1.8796861171722412,248.1071,420.2873,-384.2905,-470.4223,496.592,146.4322,87.4709,-84.5342
15,2.012662172317505,246.4399,424.293,-383.287,-471.1578,501.412,146.3534,87.3456,-84.4708
16,2.147728204727173,245.244,427.9515,-382.2889,-471.881,506.3864,146.3017,87.2322,-84.3864
17,2.2799410820007324,243.811,433.5311,-381.2814,-472.549,511.383,146.2688,87.1318,-84.2959
18,2.4161109924316406,242.2896,437.6641,-380.0868,-473.2714,516.8026,146.2439,87.0365,-84.194
19,2.5519981384277344,241.612,443.6227,-378.8471,-473.9287,522.3102,146.2245,86.9561,-84.1005
20,2.6842470169067383,240.3555,448.8352,-377.6329,-474.512,527.533,146.2032,86.8876,-84.0179
21,2.819857120513916,239.9106,453.5374,-376.3062,-475.0614,533.1043,146.1761,86.8274,-83.9459
22,2.954648017883301,239.5346,459.3436,-374.9421,-475.5497,538.4233,146.1439,86.7779,-83.8853
23,3.094956159591675,238.3461,465.2121,-373.4166,-476.016,544.3999,146.1031,86.7345,-83.8339
24,3.224377155303955,238.8634,469.9637,-371.9143,-476.4206,550.2097,146.0599,86.704,-83.7985
25,3.355708122253418,238.9314,476.9489,-370.1582,-476.7593,555.8405,146.0132,86.6841,-83.7762
26,3.4917891025543213,239.3411,482.6752,-368.3241,-477.0438,561.9503,145.9581,86.6737,-83.7657
27,3.623739004135132,240.0739,489.0674,-366.3272,-477.2718,568.1298,145.8981,86.6749,-83.7701
28,3.7598330974578857,241.0886,495.5208,-364.3219,-477.4216,574.3361,145.8325,86.6884,-83.7905
29,3.892320156097412,242.2512,502.7268,-361.9982,-477.503,580.8485,145.7613,86.7133,-83.8286
30,4.02762508392334,243.8144,509.2043,-359.6635,-477.5016,587.4793,145.6815,86.7528,-83.8863
31,4.159775018692017,245.8687,515.9704,-357.2701,-477.4172,594.0158,145.6008,86.8027,-83.9637
32,4.295790195465088,248.6641,523.3226,-354.8381,-477.2496,600.4228,145.5091,86.8709,-84.0667
33,4.431810140609741,251.7436,530.7552,-351.7127,-476.9452,608.3419,145.4006,86.952,-84.1929
34,4.563657999038696,255.3606,538.8452,-348.8289,-476.5762,615.2644,145.2886,87.0471,-84.3493
35,4.699621200561523,259.7742,546.1832,-345.5154,-476.0642,622.6854,145.1625,87.1591,-84.5403
36,4.832056045532227,264.4932,554.2055,-342.3727,-475.4856,629.7651,145.0344,87.2771,-84.7526
37,4.967656135559082,269.9528,561.2003,-339.0643,-474.7978,636.637,144.8938,87.4013,-84.9886
38,5.0995612144470215,275.2751,568.3622,-335.7324,-474.0285,643.3253,144.7407,87.5341,-85.2452
39,5.236004114151001,281.2747,575.5488,-332.6856,-473.2477,649.758,144.5748,87.6726,-85.5355
40,5.371703147888184,287.6715,581.8987,-329.4231,-472.4101,655.7227,144.3919,87.8143,-85.8529
41,5.50396203994751,293.8613,587.8961,-326.3514,-471.5753,661.3686,144.1877,87.9575,-86.2024
42,5.639685153961182,300.8053,592.5763,-323.2429,-470.7645,666.6103,143.9371,88.1072,-86.6078
43,5.7716450691223145,307.2349,599.333,-320.4059,-470.0318,671.2948,143.6257,88.2578,-87.0745
44,5.907649993896484,314.5395,603.3362,-317.2506,-469.2954,675.8007,143.2181,88.4168,-87.6551
45,6.039736032485962,321.4427,607.9087,-314.5039,-468.6434,679.6223,142.6759,88.5807,-88.3879
46,6.175755023956299,328.5219,611.4404,-311.8004,-468.0971,683.1761,141.9249,88.743,-89.3682
47,6.311631202697754,335.3164,615.1428,-308.9385,-467.6341,686.3686,140.7336,88.928,-90.7325
48,6.443680047988892,342.8284,616.9924,-306.5023,-467.3312,688.8249,139.0441,89.1018,-92.7005
49,6.579623222351074,349.2804,619.6645,-303.8907,-467.1412,690.9816,136.2878,89.2814,-95.7781
50,6.711512088775635,355.9869,621.5727,-301.4612,-467.12,692.5031,131.2935,89.4631,-101.3721
51,6.847778081893921,362.6931,622.6272,-299.113,-467.271,693.5186,120.6621,89.6397,-113.3303
52,6.980902194976807,368.7817,623.4946,-296.9998,-467.5923,693.9216,93.734,89.7766,-144.6242
53,7.115560054779053,374.5825,622.0673,-295.0645,-468.1037,693.7591,40.7763,89.7821,162.2002
54,7.251671075820923,380.4583,619.5067,-293.2503,-468.7791,693.0422,8.661,89.6486,134.1977
55,7.383644104003906,384.7769,618.9892,-291.6885,-469.5845,691.8605,-3.2923,89.4835,123.4054
56,7.519914150238037,389.0839,617.6713,-290.1792,-470.5648,690.111,-9.2528,89.2959,118.0072
57,7.651618003845215,393.1538,614.6547,-288.9194,-471.6405,688.0361,-12.2734,89.1165,115.0071
58,7.787917137145996,396.6077,612.4896,-287.5975,-472.9026,685.3282,-14.2338,88.9274,113.1136
59,7.9199910163879395,399.5557,609.3756,-286.5457,-474.2364,682.2847,-15.4531,88.7467,111.9475
60,8.056065082550049,402.5679,604.51,-285.4363,-475.7862,678.5289,-16.3018,88.5591,111.1532
61,8.191756010055542,404.9142,600.2675,-284.4991,-477.3135,674.5377,-16.842,88.3769,110.6353
62,8.323606014251709,407.3515,595.3358,-283.6376,-478.8757,670.291,-17.1968,88.2088,110.3269
63,8.459631204605103,408.8485,590.5649,-282.7472,-480.7153,665.2441,-17.4531,88.0284,110.1023
64,8.591618061065674,410.4159,583.6387,-281.9193,-482.3865,660.3583,-17.6033,87.8635,109.9977
65,8.727864027023315,411.3999,578.3578,-281.0507,-484.2271,654.5467,-17.7038,87.6969,109.9555
66,8.85966420173645,412.1932,571.9757,-280.2182,-485.9877,648.6355,-17.7535,87.5409,109.9661
67,8.996011018753052,413.0835,564.9435,-279.3378,-487.7811,642.4996,-17.7697,87.3872,110.0133
68,9.131673097610474,413.6928,557.9952,-278.4234,-489.5115,636.14,-17.7612,87.2358,110.093
69,9.263833999633789,414.0839,550.9126,-277.4673,-491.1519,629.7149,-17.7353,87.1001,110.1863
70,9.3996000289917,414.7411,543.5602,-276.3116,-492.8878,622.4137,-17.693,86.9548,110.3069
71,9.531554222106934,414.923,535.4664,-275.1538,-494.409,615.4706,-17.6403,86.8268,110.4355
72,9.667632102966309,415.5472,527.4987,-273.7095,-496.0305,607.6422,-17.5699,86.6929,110.5823
73,9.799557209014893,415.4726,518.8923,-272.3295,-497.3795,600.4311,-17.4968,86.5785,110.7379
74,9.935652017593384,416.2942,510.5081,-270.6497,-498.7343,592.1464,-17.4014,86.4588,110.9071
75,10.071705102920532,416.4064,502.0103,-268.8553,-499.9415,583.958,-17.2976,86.3527,111.0921
76,10.340058088302612,417.3489,484.5049,-264.7865,-501.9518,566.9745,-17.0626,86.1779,111.4835
77,10.471594095230103,417.2415,475.2531,-262.4851,-502.677,558.3905,-16.9311,86.1125,111.6897
78,10.607631206512451,418.623,466.3715,-260.1364,-503.2159,549.6079,-16.786,86.0604,111.9107
79,10.7396080493927,419.2285,457.8697,-257.5517,-503.5557,540.9354,-16.6389,86.0251,112.1262
80,10.876053094863892,420.3221,448.3315,-254.7563,-503.6891,531.8051,-16.4724,86.0074,112.3521
81,11.01170015335083,421.4295,439.0963,-251.8672,-503.6007,522.8212,-16.2942,86.0074,112.5847
82,11.143578052520752,422.4673,430.4843,-248.874,-503.2773,513.8234,-16.1146,86.0269,112.8083
83,11.279994010925293,424.1349,421.9229,-245.7181,-502.7373,505.0183,-15.9223,86.0642,113.0446
