frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,542.3835,529.4868,-459.31,-476.8508,598.4254,-37.2918,88.2191,86.6328
1,0.13181304931640625,548.2952,518.5259,-456.5267,-477.7415,588.7036,-37.9093,88.1033,85.9022
2,0.26794910430908203,553.7022,507.3212,-453.5725,-478.4268,578.0554,-38.559,87.9976,85.1938
3,0.4039449691772461,557.9843,496.4877,-450.0921,-478.9127,567.7988,-39.1355,87.913,84.6025
4,0.5358119010925293,561.4846,486.4289,-446.9062,-479.088,558.0131,-39.6579,87.8525,84.0893
5,0.6719059944152832,563.8382,475.4916,-443.6776,-479.0317,548.7617,-40.1338,87.8147,83.6484
6,0.8074278831481934,565.3448,466.7299,-440.5998,-478.7715,539.918,-40.5497,87.7977,83.2877
7,0.9401090145111084,566.0448,458.1844,-437.4627,-478.3295,531.5123,-40.9359,87.8018,82.9877
8,1.0720479488372803,566.4835,449.0144,-434.8272,-477.799,524.2595,-41.2527,87.8209,82.7644
9,1.2080540657043457,566.0572,440.6902,-431.5571,-476.9903,516.2247,-41.5859,87.8614,82.559
10,1.3439619541168213,565.6239,432.5681,-428.6812,-476.151,508.9923,-41.8773,87.9173,82.3981
11,1.4758820533752441,564.7776,425.6665,-426.003,-475.246,502.4832,-42.1551,87.9874,82.2565
12,1.6117620468139648,563.2589,418.1754,-423.3738,-474.3061,496.3947,-42.4563,88.0756,82.1009
13,1.7440540790557861,561.8228,412.1649,-420.76,-473.3214,490.9828,-42.7877,88.1775,81.9191
14,1.8797659873962402,559.7645,405.8416,-418.2876,-472.3101,485.8763,-43.188,88.2979,81.6768
15,2.0117430686950684,557.6937,400.1879,-415.8437,-471.3215,481.3267,-43.6558,88.43,81.3585
16,2.1480159759521484,555.507,394.5364,-413.5413,-470.3713,477.2752,-44.2886,88.5759,80.898
17,2.2838919162750244,553.0674,390.2852,-411.2236,-469.4593,473.6791,-45.0948,88.7429,80.2328
18,2.4161651134490967,550.4647,386.3907,-409.0553,-468.608,470.6413,-46.2134,88.914,79.267
19,2.551888942718506,547.7297,382.9773,-406.9951,-467.8395,468.0439,-47.9089,89.1029,77.6653
20,2.684256076812744,545.0562,379.0095,-405.0965,-467.18,466.0916,-50.4782,89.2893,75.1281
21,2.8199570178985596,542.3221,376.4075,-403.1953,-466.5855,464.5641,-55.275,89.4891,69.956
22,2.951901912689209,539.6099,374.6426,-401.5124,-466.13,463.5559,-65.7903,89.6753,58.0281
23,3.0886669158935547,536.3954,372.3251,-399.9247,-465.7666,462.9967,-97.9294,89.8295,19.0374
24,3.2238290309906006,533.7639,370.6676,-398.2434,-465.5017,462.9227,-169.9359,89.7795,-48.0456
25,3.3558430671691895,530.8131,370.3922,-396.8238,-465.376,463.3047,165.4318,89.5964,-69.0066
26,3.4921069145202637,527.9456,370.7871,-395.4543,-465.3587,464.1682,157.2198,89.385,-76.3254
27,3.6238179206848145,525.2323,371.9462,-394.1458,-465.4507,465.4596,153.0857,89.1722,-79.8134
28,3.7644429206848145,522.3124,371.31,-392.9096,-465.6591,467.2809,150.8702,88.9564,-81.7249
29,3.893394947052002,519.5653,372.1083,-391.7979,-465.9704,469.5083,149.4369,88.7452,-82.8806
30,4.032054901123047,516.7002,373.0463,-390.7053,-466.3495,471.8816,148.4899,88.536,-83.599
31,4.163664102554321,513.7464,375.2944,-389.6524,-466.8291,474.8556,147.8576,88.3528,-84.0412
32,4.295820951461792,511.2644,376.0594,-388.6283,-467.3892,478.1544,147.4004,88.1746,-84.3049
33,4.431828022003174,508.4815,378.3242,-387.6697,-467.9871,481.7109,147.0515,87.9984,-84.4738
34,4.5643908977508545,506.0792,381.9654,-386.8256,-468.6181,485.4025,146.8115,87.8413,-84.5538
35,4.699863910675049,503.6314,384.1338,-385.8254,-469.2991,489.5874,146.6257,87.6898,-84.5794
36,4.831804037094116,501.181,388.3907,-384.9101,-469.9637,493.6792,146.4983,87.5539,-84.5625
37,4.967861890792847,499.0278,392.1069,-383.9013,-470.7098,498.561,146.396,87.4193,-84.5102
38,5.103785037994385,496.6647,396.1378,-382.9042,-471.431,503.297,146.33,87.2983,-84.4386
39,5.236048936843872,494.2701,399.9995,-381.8744,-472.1564,508.5007,146.2854,87.19,-84.3513
40,5.371860980987549,492.3079,404.5658,-380.764,-472.8676,513.6732,146.2569,87.0926,-84.2538
41,5.507420063018799,490.4708,409.2094,-379.5884,-473.536,518.9539,146.2363,87.0034,-84.1557
42,5.639815092086792,488.9534,414.1852,-378.4282,-474.1497,524.2643,146.2171,86.9299,-84.0664
43,5.7716429233551025,486.7135,419.1432,-377.1175,-474.7357,529.6893,146.1939,86.8644,-83.9901
