frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,524.7038,552.1521,-467.1376,-472.7991,627.6808,-34.9717,88.6378,89.317
1,0.13613486289978027,532.3225,541.6746,-464.3889,-474.5242,617.1238,-35.8994,88.4807,88.2925
2,0.2685048580169678,539.5552,531.8764,-461.8102,-475.8415,607.3005,-36.6385,88.3398,87.3906
3,0.4042069911956787,546.1926,521.0317,-458.9336,-477.0117,596.8239,-37.3625,88.2064,86.5266
4,0.5365128517150879,552.0234,510.0132,-456.0934,-477.8799,587.1273,-38.0137,88.0842,85.7791
5,0.6721479892730713,556.9955,499.3014,-452.7457,-478.5588,576.2457,-38.6595,87.982,85.0911
6,0.8042538166046143,560.968,488.8618,-449.6329,-478.9575,566.253,-39.2364,87.9002,84.5036
7,0.9405357837677002,564.2707,478.8735,-446.2738,-479.0938,556.2911,-39.7465,87.8441,84.0007
8,1.0765619277954102,566.3192,469.0457,-443.0517,-478.9987,547.0188,-40.2111,87.8099,83.5845
9,1.2082898616790771,567.3831,459.7818,-440.073,-478.7124,538.4657,-40.6116,87.7973,83.2379
10,1.3442909717559814,568.1987,450.477,-436.9314,-478.2372,529.9497,-41.0056,87.8042,82.9431
11,1.4764227867126465,568.3701,442.3667,-433.9783,-477.6222,522.3388,-41.334,87.8286,82.7133
12,1.612569808959961,567.7312,434.0384,-431.032,-476.8651,514.6972,-41.6391,87.8699,82.5249
13,1.7448058128356934,566.8539,425.8596,-428.2831,-476.0224,507.9073,-41.9218,87.9266,82.3766
14,1.8803279399871826,565.8427,418.7757,-425.5094,-475.1015,501.5208,-42.2074,88.0019,82.2299
15,2.0164120197296143,564.3225,411.7149,-422.8637,-474.1274,495.5226,-42.5027,88.0898,82.0702
16,2.148427963256836,562.7784,406.1287,-420.2984,-473.1402,490.068,-42.8533,88.1977,81.8817
17,2.2847888469696045,560.5045,399.6947,-417.7394,-472.1131,484.9558,-43.2634,88.3235,81.6264
18,2.416465997695923,558.1428,393.9995,-415.3895,-471.1533,480.5812,-43.7533,88.4533,81.285
19,2.552393913269043,555.6298,389.3232,-413.1111,-470.2067,476.623,-44.3972,88.6056,80.7974
20,2.684713840484619,553.1206,384.6559,-410.8865,-469.3246,473.1191,-45.2669,88.7701,80.1001
21,2.8205649852752686,550.727,382.1669,-408.6663,-468.4597,470.1425,-46.4676,88.9453,79.0187
22,2.9565329551696777,547.7098,377.5227,-406.6642,-467.6988,467.6705,-48.2767,89.1343,77.3327
23,3.088890790939331,544.9039,373.9175,-404.7086,-467.0533,465.7822,-51.0766,89.3237,74.4162
24,3.22448992729187,542.1232,371.864,-402.8748,-466.4918,464.3366,-56.6778,89.5206,68.6239
25,3.357002019882202,538.9556,369.7807,-401.1745,-466.048,463.4135,-69.3406,89.7105,53.6434
