frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,792.7853,609.0278,497.2336,246.0348,664.2433,-50.7967,89.8741,-50.8187
1,0.1360158920288086,790.8165,607.6924,497.2336,244.666,664.2433,-50.7967,89.8741,-50.8187
2,0.2681748867034912,789.1806,607.4077,497.2336,243.3072,664.2433,-50.7966,89.8741,-50.8187
3,0.403980016708374,786.1071,607.6984,497.2336,241.6644,664.2433,-50.7966,89.8741,-50.8187
4,0.5411949157714844,784.037,607.6553,497.2336,240.1704,664.2433,-50.7966,89.8741,-50.8187
5,0.6719050407409668,781.952,608.0983,497.2336,238.8172,664.2433,-50.7966,89.8741,-50.8186
6,0.8079049587249756,779.6714,607.8536,497.2336,237.1676,664.2433,-50.7966,89.8741,-50.8186
7,0.9406380653381348,777.1733,607.9347,497.2336,235.7214,664.2433,-50.7966,89.8741,-50.8186
8,1.0761070251464844,774.5962,607.7301,497.2336,234.3117,664.2433,-50.7966,89.8741,-50.8186
9,1.2085778713226318,772.6329,607.6521,497.2336,232.8215,664.2433,-50.7966,89.8741,-50.8186
10,1.3438599109649658,770.0755,607.6205,497.2336,231.3733,664.2433,-50.7966,89.8741,-50.8186
11,1.4801390171051025,768.2238,607.6184,497.2336,229.813,664.2433,-50.7966,89.8741,-50.8186
12,1.6120259761810303,765.6309,607.5276,497.2336,228.3735,664.2433,-50.7966,89.8741,-50.8186
13,1.7481348514556885,763.4761,607.5453,497.2336,226.8699,664.2433,-50.7966,89.8741,-50.8186
14,1.8801069259643555,761.0999,607.7729,497.2336,225.6651,664.2433,-50.7966,89.8741,-50.8186
15,2.0159380435943604,758.4976,607.7417,497.2336,224.0394,664.2433,-50.7966,89.8741,-50.8187
16,2.1481008529663086,757.188,608.0043,497.2336,222.9364,664.2433,-50.797,89.8741,-50.819
17,2.2836978435516357,758.4048,608.0236,497.2336,222.9363,664.2433,-50.797,89.8741,-50.819
