frame_id,time,u,v,X,Y,Z,A,B,C
0,0.0,506.7058,510.5117,431.5674,123.1557,612.1345,-56.0451,88.8258,-54.8345
1,0.1320178508758545,500.6869,503.6171,431.8485,120.4562,608.5101,-56.0443,88.7349,-54.7645
2,0.26804590225219727,494.5414,495.5108,432.1192,117.5499,604.4812,-56.0451,88.6529,-54.7063
3,0.40051889419555664,488.6087,487.4389,432.3394,114.5634,599.9658,-56.0265,88.5913,-54.6449
4,0.5362629890441895,482.21,478.1168,432.4895,111.4713,594.9479,-55.9847,88.5473,-54.5847
5,0.6721999645233154,476.4236,467.1674,432.5228,108.1328,589.7578,-55.9272,88.5284,-54.5374
6,0.8075399398803711,470.7935,455.0092,432.4099,104.5834,584.0164,-55.8514,88.5403,-54.5103
7,0.9401049613952637,465.6226,444.07,432.1922,101.3668,578.6166,-55.7713,88.5815,-54.5012
8,1.072023868560791,463.1855,431.8275,431.8114,98.3688,573.8331,-55.6395,88.6455,-54.4415
9,1.2082138061523438,460.1907,422.5142,431.3938,95.5521,569.3496,-55.3131,88.738,-54.1875
10,1.3400859832763672,458.6632,413.8545,431.0165,93.2965,565.9336,-54.7383,88.8411,-53.6969
11,1.476869821548462,457.2552,405.639,430.6219,90.8874,562.7596,-53.7669,88.963,-52.7573
12,1.612095832824707,455.5464,399.321,430.2672,88.6343,560.206,-52.208,89.0973,-51.2618
13,1.7442147731781006,455.0253,393.5034,429.9843,86.6413,558.3469,-49.9817,89.2278,-48.9922
14,1.8803188800811768,454.8797,389.1815,429.7735,84.7013,556.9766,-46.4534,89.3681,-45.3233
15,2.0126278400421143,454.0348,386.43,429.6357,82.9107,556.1365,-41.338,89.491,-39.5384
16,2.14829683303833,452.9016,386.0899,429.5638,80.9894,555.6978,-31.5365,89.6162,-29.4817
17,2.280103921890259,451.6727,382.724,429.5702,79.2405,555.7569,-15.2463,89.7122,-11.8942
18,2.416249990463257,451.0685,382.3752,429.6543,77.3497,556.3239,14.1692,89.7635,17.2369
19,2.552020788192749,450.2795,383.4068,429.7987,75.5924,557.2749,42.6719,89.7398,46.5391
20,2.684264898300171,448.728,384.2564,430.0067,73.7589,558.7055,62.763,89.6718,64.7704
21,2.820469856262207,446.9545,388.0215,430.2543,71.98,560.6191,73.9478,89.5851,74.5961
22,2.952664852142334,445.3712,392.4205,430.5367,70.1638,562.798,79.8255,89.5039,80.1612
23,3.088204860687256,443.286,396.9852,430.8468,68.2638,565.4724,83.4209,89.4271,83.522
24,3.2201499938964844,441.1992,402.8037,431.137,66.4646,568.2825,85.452,89.365,85.3999
25,3.35593581199646,438.3734,409.7739,431.419,64.5799,571.537,86.6575,89.3112,86.4601
26,3.4927477836608887,436.6807,416.3514,431.6762,62.5409,575.2863,87.2662,89.2708,86.9781
27,3.62385892868042,433.8951,424.9168,431.8662,60.7142,578.8006,87.4221,89.2466,87.0662
28,3.7600998878479004,430.6146,433.5619,432.0053,58.6384,582.893,87.2922,89.2336,86.8972
29,3.8919808864593506,427.6024,442.5559,432.0583,56.5174,587.1416,86.9776,89.2353,86.5539
30,4.028191804885864,424.3243,451.735,432.0157,54.2116,591.5932,86.4852,89.2521,86.017
31,4.16008996963501,420.7035,461.0712,431.8831,51.9014,596.0043,85.7135,89.2842,85.2017
32,4.296159982681274,416.7008,470.8707,431.6698,49.5746,600.1538,84.5075,89.3335,83.9351
33,4.4320948123931885,412.3412,479.8105,431.392,47.2176,604.0575,82.6489,89.3979,81.9832
34,4.564208984375,407.5875,487.3152,431.0939,44.8823,607.5354,79.7865,89.4713,79.066
35,4.700212001800537,402.4376,494.847,430.7799,42.47,610.732,74.9289,89.5614,73.9578
36,4.83188796043396,397.2292,501.784,430.5066,40.2655,613.3042,67.3011,89.6484,65.235
37,4.968066930770874,391.683,507.0135,430.2136,37.5594,615.8259,51.2135,89.7392,48.4586
38,5.100161790847778,384.8663,511.4124,429.9925,35.1412,617.7396,22.0752,89.7903,17.5796
39,5.236746788024902,377.9006,515.5178,429.8228,32.4267,619.1669,-14.3533,89.7587,-18.1493
40,5.372527837753296,370.9521,517.6571,429.7322,29.8146,620.0976,-37.7455,89.6615,-39.3103
41,5.5038487911224365,363.8313,519.2994,429.723,27.2037,620.5126,-49.1292,89.5362,-49.8245
42,5.64031982421875,356.1463,520.6274,429.7865,24.6819,620.4868,-55.6766,89.4029,-55.8617
43,5.772359848022461,349.193,518.5817,429.9206,22.078,620.0316,-59.5624,89.2655,-59.2895
44,5.908606767654419,341.5887,516.6367,430.1271,19.3303,619.094,-62.2523,89.1227,-61.6883
45,6.039933919906616,333.7326,515.4435,430.3686,16.8871,617.8777,-63.9167,88.9885,-63.2227
46,6.17604398727417,325.8889,511.8362,430.6998,13.9975,616.0855,-65.217,88.8484,-64.3322
47,6.315225839614868,318.4402,508.224,431.0495,11.1673,613.855,-66.1304,88.7138,-65.0904
48,6.447080850601196,310.8244,503.1636,431.4125,8.29,611.3355,-66.746,88.5939,-65.5835
49,6.579913854598999,302.7498,497.5076,431.7887,5.3854,608.4345,-67.1864,88.481,-65.9251
50,6.711925983428955,296.3194,490.7306,432.1017,2.285,605.1447,-67.5033,88.3854,-66.153
51,6.847813844680786,289.1866,483.3654,432.4244,-0.8289,601.6432,-67.7569,88.3013,-66.3624
52,6.980154991149902,281.6452,474.665,432.6493,-4.2502,597.7038,-68.0119,88.2374,-66.5805
53,7.116077899932861,275.2747,466.511,432.7734,-7.7986,593.504,-68.2487,88.1973,-66.8104
54,7.251818895339966,269.3375,456.8754,432.7723,-11.5238,588.9701,-68.4708,88.188,-67.0528
55,7.384671926498413,263.3977,447.1717,432.6335,-15.1961,584.4261,-68.6682,88.2155,-67.2931
56,7.520578861236572,258.7771,436.6677,432.4167,-18.3669,580.5728,-68.7872,88.2711,-67.4762
57,7.652025938034058,255.3158,428.8399,432.037,-21.5981,576.3483,-68.7337,88.3575,-67.482
58,7.788218975067139,252.899,420.7786,431.6297,-24.5631,572.7917,-68.3602,88.4747,-67.1689
59,7.9197728633880615,251.3076,412.5931,431.2112,-27.2036,569.7069,-67.5148,88.6097,-66.3909
60,8.056116819381714,249.9691,408.5365,430.7763,-29.8719,567.0672,-66.0456,88.7654,-64.9408
61,8.192156791687012,249.5529,403.6192,430.3917,-32.2774,565.0307,-63.5562,88.9316,-62.4373
62,8.324249982833862,249.2993,400.698,430.0649,-34.4334,563.5457,-59.7129,89.0998,-58.5032
63,8.460209846496582,250.1376,399.5131,429.7998,-36.5096,562.5712,-53.4233,89.2701,-52.0472
64,8.592091798782349,251.1732,398.0342,429.6114,-38.5584,562.1476,-43.6636,89.4172,-42.0259
65,8.7288339138031,251.6507,397.6606,429.5101,-40.4063,562.2616,-28.0087,89.5322,-25.8477
66,8.86043381690979,252.3758,400.0358,429.4839,-42.1627,562.8067,-8.207,89.5855,-5.0122
67,8.996095895767212,253.457,405.503,429.5291,-43.8682,563.8866,15.0272,89.5746,17.492
68,9.132037878036499,254.3234,407.4613,429.6421,-45.6061,565.4184,33.3853,89.5085,34.5643
69,9.264128923416138,254.8927,411.8659,429.8025,-47.2712,567.3932,44.7715,89.4209,45.1599
70,9.400139808654785,255.642,417.9544,430.0316,-49.054,569.9878,52.3384,89.3245,52.1778
71,9.531883955001831,256.1998,425.341,430.2618,-50.7104,572.8771,56.7956,89.2401,56.3177
72,9.668069839477539,255.598,431.8658,430.5191,-52.4804,576.2242,59.8392,89.166,59.0495
73,9.800065994262695,254.7372,441.1224,430.7604,-54.297,580.0443,61.5757,89.1128,60.6118
74,9.935995817184448,254.0604,449.8092,430.9659,-56.2231,584.3397,62.645,89.078,61.5241
75,10.072303771972656,252.392,459.9818,431.1136,-58.173,588.8312,63.1414,89.066,61.9385
76,10.204203844070435,249.5608,469.879,431.1721,-60.2611,593.6513,63.3358,89.0748,62.0912
77,10.339815855026245,245.6132,480.268,431.1435,-62.382,598.6211,63.2873,89.1103,62.0147
78,10.472206830978394,240.9058,491.3671,431.1115,-64.9687,604.3981,62.7073,89.1721,61.4339
79,10.608255863189697,235.0117,502.6884,431.21,-67.3141,609.6183,61.1766,89.2608,59.8145
80,10.74087381362915,227.335,512.2348,431.5268,-69.6129,614.7499,58.0145,89.368,56.3172
81,10.876382827758789,219.8497,522.9642,432.0833,-71.8451,619.9846,52.0157,89.4845,49.8467
